
# time  N22        N23        
    0.        629.4861n  629.4852n 
    5.59000p  698.3096m   14.8673m 
    5.60000p  698.3234m   14.7730m 
    5.61000p  698.3372m   14.6788m 
    5.62000p  698.3511m   14.5846m 
    5.63000p  698.3649m   14.4903m 
    5.64000p  698.3787m   14.3961m 
    5.65000p  698.3925m   14.3018m 
    5.66000p  698.4063m   14.2076m 
    5.67000p  698.4201m   14.1134m 
    5.68000p  698.4340m   14.0191m 
    5.69000p  698.4478m   13.9249m 
    5.70000p  698.4616m   13.8306m 
    5.71000p  698.4754m   13.7364m 
    5.72000p  698.4892m   13.6422m 
    5.73000p  698.5030m   13.5479m 
    5.74000p  698.5169m   13.4537m 
    5.75000p  698.5307m   13.3594m 
    5.76000p  698.5445m   13.2652m 
    5.77000p  698.5583m   13.1710m 
    5.78000p  698.5721m   13.0767m 
    5.79000p  698.5859m   12.9825m 
    5.80000p  698.5998m   12.8882m 
    5.81000p  698.6136m   12.7940m 
    5.82000p  698.6274m   12.6998m 
    5.83000p  698.6412m   12.6055m 
    5.84000p  698.6550m   12.5113m 
    5.85000p  698.6688m   12.4170m 
    5.86000p  698.6827m   12.3228m 
    5.87000p  698.6965m   12.2286m 
    5.88000p  698.7103m   12.1343m 
    5.89000p  698.7241m   12.0401m 
    5.90000p  698.7379m   11.9458m 
    5.91000p  698.7517m   11.8516m 
    5.92000p  698.7656m   11.7574m 
    5.93000p  698.7794m   11.6631m 
    5.94000p  698.7932m   11.5689m 
    5.95000p  698.8070m   11.4746m 
    5.96000p  698.8208m   11.3804m 
    5.97000p  698.8346m   11.2862m 
    5.98000p  698.8485m   11.1919m 
    5.99000p  698.8623m   11.0977m 
    6.00000p  698.8761m   11.0034m 
    6.01000p  698.8899m   10.9092m 
    6.02000p  698.9037m   10.8150m 
    6.03000p  698.9175m   10.7207m 
    6.04000p  698.9314m   10.6265m 
    6.05000p  698.9452m   10.5322m 
    6.06000p  698.9590m   10.4380m 
    6.07000p  698.9728m   10.3438m 
    6.08000p  698.9866m   10.2495m 
    6.09000p  699.0004m   10.1553m 
    6.10000p  699.0143m   10.0610m 
    6.11000p  699.0281m    9.9668m 
    6.12000p  699.0419m    9.8726m 
    6.13000p  699.0557m    9.7783m 
    6.14000p  699.0695m    9.6841m 
    6.15000p  699.0833m    9.5898m 
    6.16000p  699.0972m    9.4956m 
    6.17000p  699.1110m    9.4014m 
    6.18000p  699.1248m    9.3071m 
    6.19000p  699.1386m    9.2129m 
    6.20000p  699.1524m    9.1186m 
